Id,Firstname,Lastname,Sex,Address,Postcode,Pref_1,Pref_2,Pref_3,Pref_4,Pref_5,Latitude,Longitude,Email
144,Lucinda,Schmitt,Female,"269 Gloucester Rd, Bishopston, Bristol ",BS7 8NY,Human Rights,Healthcare,Animals,Elderly Care,Disaster Relief,51.4791697,-2.5891725,lucinda.schmitt@gmail.com
145,Margaretta,Schinner,Male,"14 Fairfax St, Bristol ",BS1 3DB,Education,Poverty,Women,Religious,Human Rights,51.4563042,-2.5926341,margaretta.schinner@gmail.com
146,Danny,Daniel,Female,"70 High St, Bristol ",BS16 5HN,Human Rights,Elderly Care,Religious,Poverty,Healthcare,51.4811405,-2.5101099,danny.daniel@gmail.com
147,Henderson,Brakus,Male,"135 Whiteladies Rd, Clifton, Bristol ",BS8 2PN,Environment,Human Rights,Animals,Women,Elderly Care,51.4647201,-2.6102486,henderson.brakus@gmail.com
148,Eryn,Homenick,Female,"High St, Bristol ",BS9 3DU,Environment,Religious,Disaster Relief,Human Rights,Elderly Care,51.4935234,-2.6182389,eryn.homenick@gmail.com
149,Krystal,Predovic,Male,"2 Arnside Rd, Southmead, Bristol ",BS10 6AT,Environment,Religious,Education,Animals,Elderly Care,51.5037221,-2.6022397,krystal.predovic@gmail.com
150,Dayne,Watsica,Female,"352 Gloucester Rd, Bishopston, Bristol ",BS7 8TP,Religious,Animals,Education,Healthcare,Poverty,51.4833692,-2.587268,dayne.watsica@gmail.com
151,Landen,Schumm,Male,"27 Cottle Rd, Stockwood, Bristol ",BS14 8QR,Disaster Relief,Animals,Poverty,Human Rights,Religious,51.4145505,-2.5396363,landen.schumm@gmail.com
152,Ned,Casper,Male,"Woodborough St, Easton ",BS5 0JA,Animals,Environment,Poverty,Women,Education,51.4651492,-2.5678585,ned.casper@gmail.com
153,Murray,Kihn-Aufderhar,Male,"408 Stapleton Rd, Easton, Bristol ",BS5 6NQ,Women,Education,Human Rights,Animals,Elderly Care,51.46929489999999,-2.5658799,murray.kihn-aufderhar@gmail.com
154,Rosendo,Jacobs,Female,"Quakers Friars Cabot Circus, Unit Ls4A Ls4B, Bristol ",BS1 3BU,Education,Animals,Healthcare,Poverty,Disaster Relief,51.4575894,-2.587814,rosendo.jacobs@gmail.com
155,Akeem,Pollich,Male,"Unit 1, 15 Douglas Rd, Kingswood, Bristol ",BS15 8NH,Animals,Religious,Healthcare,Disaster Relief,Poverty,51.4580169,-2.5094199,akeem.pollich@gmail.com
156,Roxanne,O'Reilly,Male,"15-29 Union St, Bristol ",BS1 2DF,Religious,Animals,Women,Healthcare,Poverty,51.4563113,-2.5912237,roxanne.o'reilly@gmail.com
157,Julio,Bergstrom,Male,"1 Barrow Rd, Bristol ",BS5 0HU,Disaster Relief,Animals,Healthcare,Religious,Environment,51.4566169,-2.5695089,julio.bergstrom@gmail.com
158,Kasey,Littel,Female,"10 Union St, Bristol ",BS1 2DU,Elderly Care,Human Rights,Healthcare,Disaster Relief,Animals,51.4575918,-2.5922909,kasey.littel@gmail.com
159,Mittie,Abernathy,Male,"Explore Ln, Bristol ",BS1 5TY,Human Rights,Healthcare,Poverty,Women,Religious,51.44965060000001,-2.6013551,mittie.abernathy@gmail.com
160,Brooks,Kozey,Male,"48 Queens Rd, Bristol ",BS8 1RE,Healthcare,Poverty,Religious,Elderly Care,Human Rights,51.4567801,-2.6068031,brooks.kozey@gmail.com
161,Brennon,Rosenbaum,Female,"83 Queens Rd, Clifton, Bristol ",BS8 1QS,Elderly Care,Education,Poverty,Religious,Human Rights,51.4571312,-2.6084486,brennon.rosenbaum@gmail.com
162,Richard,Lind,Male,"20 Easton Rd, Bristol ",BS5 0BY,Education,Human Rights,Religious,Disaster Relief,Elderly Care,51.4583257,-2.573114,richard.lind@gmail.com
163,Clementina,Erdman,Female,"Abbeywood Retail Park, Unit 7C, Station Rd, Bristol ",BS34 7JL,Women,Animals,Environment,Disaster Relief,Poverty,51.5079465,-2.5646305,clementina.erdman@gmail.com
164,Wendy,Kris,Male,"Brewery Court, North St, Ashton Gate, Bristol ",BS3 1JS,Healthcare,Religious,Poverty,Women,Disaster Relief,51.44264039999999,-2.6162561,wendy.kris@gmail.com
165,Caden,Predovic,Female,"Units 2, 3 Princess St, Bristol ",BS3 4AG,Elderly Care,Religious,Healthcare,Women,Human Rights,51.4432261,-2.5880624,caden.predovic@gmail.com
166,Robbie,Price,Female,"Bristol County Ground, Nevil Rd, Bristol ",BS7 9EG,Human Rights,Elderly Care,Religious,Disaster Relief,Poverty,51.4789896,-2.5874277,robbie.price@gmail.com
167,Myah,Hane,Male,"Clifton Down Station Development, Whiteladies Rd, Clifton, Bristol ",BS8 2PH,Animals,Healthcare,Environment,Human Rights,Religious,51.4644189,-2.6093808,myah.hane@gmail.com
168,Axel,Friesen,Male,"The Mill, Lower Ashley Rd, Easton, Bristol ",BS5 0YJ,Poverty,Elderly Care,Animals,Human Rights,Environment,51.4661339,-2.5724631,axel.friesen@gmail.com
169,Hilario,Deckow,Female,"Floating Harbour, Welsh Back, Bristol ",BS1 4SB,Disaster Relief,Women,Environment,Animals,Healthcare,51.4512692,-2.5925402,hilario.deckow@gmail.com
170,Gavin,Cole,Female,"5, The Parade, Bishopsworth, Bristol ",BS13 8JS,Healthcare,Human Rights,Environment,Poverty,Animals,51.4153883,-2.6176874,gavin.cole@gmail.com
171,Dino,Pollich,Female,"Greystoke Ave, Westbury On Trym, Bristol ",BS10 6AZ,Environment,Education,Women,Disaster Relief,Elderly Care,51.4982755,-2.613938000000001,dino.pollich@gmail.com
172,Kiarra,Davis,Female,"Starks Fitness, Unit 2 Cathedral Walk, Bristol ",BS1 5LW,Healthcare,Education,Animals,Religious,Poverty,51.449482,-2.6026624,kiarra.davis@gmail.com
173,Alvera,Turcotte,Female,"Ashton Rd, Bristol ",BS3 2HB,Disaster Relief,Education,Human Rights,Environment,Poverty,51.4356921,-2.6359721,alvera.turcotte@gmail.com
174,Hardy,Moore,Female,"Spire Bristol Hosptial, Redland Hill, Durdham Down ",BS6 6UT,Healthcare,Poverty,Education,Animals,Elderly Care,51.4720423,-2.6148676,hardy.moore@gmail.com
175,Cassie,Legros,Female,"Spire Bristol Hospital & The Glen, Redland Hill, Redland, Bristol ",BS6 6UT,Animals,Women,Education,Healthcare,Religious,51.4720423,-2.6148676,cassie.legros@gmail.com
176,Jolie,Wintheiser,Male,"Southwell St, Bristol ",BS2 8EG,Poverty,Healthcare,Women,Religious,Human Rights,51.4591292,-2.5993926,jolie.wintheiser@gmail.com
177,Jennings,Oberbrunner,Female,"10 Apex Court, Woodlands, Bradley Stoke, Bristol ",BS32 4JT,Poverty,Healthcare,Animals,Elderly Care,Education,51.5488431,-2.5528063,jennings.oberbrunner@gmail.com
178,Horace,Terry,Male,"218 Donal Early Way, Bristol ",BS10 5NB,Religious,Animals,Women,Education,Elderly Care,51.4948056,-2.591016,horace.terry@gmail.com
179,Carolina,Rau,Female,"3 Clifton Hill, Clifton, Bristol ",BS8 1BN,Women,Animals,Poverty,Education,Religious,51.4536028,-2.6160007,carolina.rau@gmail.com
180,Bertha,Heller,Male,"4 Redland Ct Rd, Redland, Bristol ",BS6 7EE,Women,Religious,Human Rights,Elderly Care,Education,51.4704962,-2.6009242,bertha.heller@gmail.com
181,Marshall,Mcdermott,Female,"Spire Bristol Hospital & The Glen, Redland Hill, Redland, Durdham Down, Bristol ",BS6 6UT,Women,Human Rights,Elderly Care,Education,Religious,51.4720423,-2.6148676,marshall.mcdermott@gmail.com
182,Birdie,Hamill,Female,"Tramway House, 1A Church Ln, Horfield, Bristol ",BS7 8SA,Healthcare,Poverty,Human Rights,Animals,Religious,51.4849498,-2.5876483,birdie.hamill@gmail.com
183,Felix,Kris,Female,"The Glen, Redland Hill, Redland, Bristol ",BS6 6UT,Elderly Care,Animals,Education,Poverty,Disaster Relief,51.4720423,-2.6148676,felix.kris@gmail.com
184,Brendon,Reynolds,Male,"Senate House, Tyndall Ave, Bristol ",BS8 1TH,Religious,Disaster Relief,Women,Poverty,Environment,51.4590642,-2.6032925,brendon.reynolds@gmail.com
185,Billy,Pouros,Female,"68 Stokes Croft, Bristol ",BS1 3QP,Religious,Human Rights,Disaster Relief,Poverty,Elderly Care,51.4622319,-2.5904508,billy.pouros@gmail.com
186,Gerard,Dickens,Male,"19 Park Row, Bristol ",BS1 5LJ,Healthcare,Environment,Religious,Women,Disaster Relief,51.455292,-2.6006808,gerard.dickens@gmail.com
187,Davon,Kris,Male,"14 Kingsway, Bristol ",BS15 8BF,Healthcare,Women,Poverty,Animals,Human Rights,51.4619893,-2.5201159,davon.kris@gmail.com
188,Clare,Turner,Male,"9 Byron Pl, Bristol ",BS8 1JT,Elderly Care,Disaster Relief,Environment,Healthcare,Animals,51.4557772,-2.6077253,clare.turner@gmail.com
189,Dorris,Davis,Female,"5 Small St, Bristol ",BS1 1DB,Healthcare,Women,Disaster Relief,Religious,Poverty,51.45517479999999,-2.5954692,dorris.davis@gmail.com
190,Cheyanne,Tillman,Male,"16 The Arcade, Broadmead, Bristol ",BS1 3JD,Women,Human Rights,Religious,Disaster Relief,Education,51.45784519999999,-2.5901784,cheyanne.tillman@gmail.com
191,Johanna,Goodwin,Male,"12 Boyce'S Ave, Clifton, Bristol ",BS8 4AA,Healthcare,Poverty,Women,Disaster Relief,Elderly Care,51.4553527,-2.6183848,johanna.goodwin@gmail.com
192,Estella,Effertz,Female,"11 Gloucester Rd N, Bristol ",BS7 0SJ,Women,Poverty,Education,Human Rights,Animals,51.5022315,-2.578621,estella.effertz@gmail.com
193,Dawn,Graham,Male,"107 Coldharbour Rd, Redland, Bristol ",BS6 7SN,Religious,Human Rights,Healthcare,Environment,Animals,51.478193,-2.6078655,dawn.graham@gmail.com
194,Mariah,Schinner,Male,"148 Gloucester Rd, Bishopston, Avon, Bristol ",BS7 8NU,Healthcare,Human Rights,Disaster Relief,Elderly Care,Women,51.4786176,-2.5898854,mariah.schinner@gmail.com
195,Lazaro,Murphy,Male,"8 Fairfax St, Bristol ",BS1 3DB,Women,Religious,Healthcare,Disaster Relief,Animals,51.4563042,-2.5926341,lazaro.murphy@gmail.com
196,Bria,Rowe,Female,"39 High St, Bristol ",BS16 5HN,Environment,Elderly Care,Education,Poverty,Disaster Relief,51.4811405,-2.5101099,bria.rowe@gmail.com
197,Dayna,Feest,Female,"93 Whiteladies Rd, Clifton, Bristol ",BS8 2PN,Women,Human Rights,Education,Elderly Care,Religious,51.4647201,-2.6102486,dayna.feest@gmail.com
198,Lauretta,Waters,Male,"69 Stapleton Rd, Easton, Bristol ",BS5 6NQ,Religious,Animals,Disaster Relief,Poverty,Elderly Care,51.46929489999999,-2.5658799,lauretta.waters@gmail.com
